iter_id,t_inicio_video,t_fin_video,delta_theta_real,signo,duracion_s
2,9.008,16.014,-94.365,CW,7.01
3,22.52,29.526,-94.108,CW,7.01
4,34.864,41.87,-94.583,CW,7.01
6,59.553,66.225,92.067,CCW,6.67
7,71.563,78.236,90.261,CCW,6.67
28,283.417,287.921,-90.016,CW,4.5
38,383.339,396.351,-190.915,CW,13.01
39,401.689,414.7,-190.224,CW,13.01
40,420.038,433.05,-191.966,CW,13.01
41,439.222,451.9,187.597,CCW,12.68
42,457.238,469.916,188.058,CCW,12.68
43,475.254,487.765,185.377,CCW,12.51
44,493.27,500.776,-181.615,CW,7.51
45,506.114,513.788,-180.4,CW,7.67
46,519.293,526.632,-179.743,CW,7.34
47,532.137,539.477,178.673,CCW,7.34
48,545.149,552.489,180.315,CCW,7.34
49,557.827,565.166,179.555,CCW,7.34
50,570.838,577.344,-178.237,CW,6.51
51,582.849,589.355,-177.715,CW,6.51
52,595.026,601.532,-178.723,CW,6.51
53,607.204,613.709,176.956,CCW,6.51
54,619.381,625.887,177.249,CCW,6.51
55,631.392,637.897,176.704,CCW,6.51
56,643.402,649.574,-178.674,CW,6.17
57,655.413,661.585,-178.089,CW,6.17
58,667.09,673.262,-177.852,CW,6.17
59,678.767,684.772,174.943,CCW,6.01
60,690.277,696.449,178.159,CCW,6.17
61,701.787,707.959,176.2,CCW,6.17
62,713.631,719.803,-178.081,CW,6.17
63,725.475,731.647,-176.569,CW,6.17
64,737.486,743.824,-178.917,CW,6.34
65,749.496,755.668,177.507,CCW,6.17
66,761.006,767.178,176.304,CCW,6.17
67,772.517,778.689,175.889,CCW,6.17
68,784.36,790.532,-175.527,CW,6.17
69,796.037,802.376,-177.823,CW,6.34
70,808.048,814.22,-177.627,CW,6.17
71,819.892,825.897,174.408,CCW,6.01
72,831.402,837.574,175.106,CCW,6.17
73,842.912,849.084,176.35,CCW,6.17
74,854.589,879.778,-387.508,CW,25.19
75,885.283,910.472,-386.63,CW,25.19
76,915.977,941.166,-387.804,CW,25.19
77,946.504,970.859,376.759,CCW,24.35
78,976.53,1000.718,375.147,CCW,24.19
79,1006.223,1030.578,377.753,CCW,24.35
80,1035.916,1048.928,-361.918,CW,13.01
81,1054.766,1067.778,-362.654,CW,13.01
82,1073.283,1086.294,-361.668,CW,13.01
83,1091.632,1104.644,359.862,CCW,13.01
84,1110.148,1122.993,358.944,CCW,12.84
85,1128.498,1141.51,361.134,CCW,13.01
86,1146.848,1157.524,-356.195,CW,10.68
87,1163.195,1173.871,-355.321,CW,10.68
88,1179.376,1190.052,-354.979,CW,10.68
89,1195.724,1206.4,354.104,CCW,10.68
90,1211.738,1222.414,355.511,CCW,10.68
91,1227.752,1238.595,355.372,CCW,10.84
92,1244.434,1253.942,-353.167,CW,9.51
93,1259.447,1268.956,-353.062,CW,9.51
94,1274.46,1284.136,-354.263,CW,9.68
95,1289.474,1299.149,352.876,CCW,9.68
96,1304.487,1314.162,353.74,CCW,9.68
97,1319.5,1329.009,353.092,CCW,9.51
98,1334.347,1344.022,-355.776,CW,9.68
99,1350.027,1359.536,-355.291,CW,9.51
100,1365.207,1374.549,-351.974,CW,9.34
101,1380.054,1389.395,352.426,CCW,9.34
102,1394.733,1404.242,355.32,CCW,9.51
103,1409.58,1419.088,353.809,CCW,9.51
104,1424.593,1434.102,-354.795,CW,9.51
105,1439.94,1449.449,-355.793,CW,9.51
106,1454.787,1464.295,-353.692,CW,9.51
107,1470.467,1479.642,350.646,CCW,9.17
108,1485.147,1494.488,353.884,CCW,9.34
109,1499.993,1509.335,352.881,CCW,9.34
