iter_id,t_inicio_video,t_fin_video,delta_theta_real,signo,duracion_s
1,4.504,7.173,24.91,CCW,2.67
5,47.375,54.048,89.558,CCW,6.67
8,83.574,88.078,-87.843,CW,4.5
9,93.583,98.087,-89.354,CW,4.5
10,103.592,108.096,-87.59,CW,4.5
11,113.6,118.271,88.37,CCW,4.67
12,123.943,128.447,87.48,CCW,4.5
13,133.952,138.289,86.062,CCW,4.34
14,143.961,148.298,-87.284,CW,4.34
15,154.136,158.473,-89.158,CW,4.34
16,164.312,168.816,-89.092,CW,4.5
17,174.154,178.491,86.343,CCW,4.34
18,183.996,188.333,87.661,CCW,4.34
19,194.005,198.342,87.085,CCW,4.34
20,204.014,208.518,-89.13,CW,4.5
21,214.189,218.527,-88.863,CW,4.34
22,223.865,228.369,-88.366,CW,4.5
23,233.873,238.211,86.965,CCW,4.34
24,243.716,248.053,88.156,CCW,4.34
25,253.558,258.062,88.317,CCW,4.5
26,263.566,267.904,-87.94,CW,4.34
27,273.575,277.912,-89.305,CW,4.34
29,293.927,298.264,85.518,CCW,4.34
30,303.769,308.106,88.283,CCW,4.34
31,313.611,317.948,88.532,CCW,4.34
32,323.286,327.79,-88.492,CW,4.5
33,333.795,338.132,-89.234,CW,4.34
34,343.637,348.141,-89.682,CW,4.5
35,353.98,358.317,87.666,CCW,4.34
36,363.822,368.159,89.118,CCW,4.34
37,373.664,378.001,88.472,CCW,4.34
110,1511.837,1514.506,31.666,CCW,2.67
