tipo,t_inicio,t_fin,vel_max,acel,angulo_objetivo,direccion,angulo_odom
SYNC_START,1773691854.2862651,1773691854.2862651,,,,,
RUN,1773691857.9266298,1773691866.5379999,0.3,0.5,90,CCW,89.958
RUN,1773691871.5443914,1773691878.828359,0.3,0.5,90,CCW,89.973
RUN,1773691883.8382902,1773691891.3893328,0.3,0.5,90,CCW,90.079
RUN,1773691896.3975434,1773691903.472319,0.3,0.5,90,CW,89.927
RUN,1773691908.4832911,1773691915.5149128,0.3,0.5,90,CW,90.076
RUN,1773691920.5257137,1773691927.5161228,0.3,0.5,90,CW,90.0
RUN,1773691932.5242085,1773691937.471769,0.6,0.5,90,CCW,89.945
RUN,1773691942.4787629,1773691947.5321717,0.6,0.5,90,CCW,89.98
RUN,1773691952.5465314,1773691957.6435258,0.6,0.5,90,CCW,89.955
RUN,1773691962.6554732,1773691967.95363,0.6,0.5,90,CW,89.962
RUN,1773691972.9618814,1773691977.8660157,0.6,0.5,90,CW,89.947
RUN,1773691982.8710418,1773691987.8535018,0.6,0.5,90,CW,90.028
RUN,1773691992.860591,1773691998.0474222,0.8,0.5,90,CCW,89.91
RUN,1773692003.0587275,1773692008.3684082,0.8,0.5,90,CCW,89.946
RUN,1773692013.3773391,1773692018.1568284,0.8,0.5,90,CCW,90.052
RUN,1773692023.1685586,1773692028.0087879,0.8,0.5,90,CW,89.935
RUN,1773692033.018768,1773692037.9913728,0.8,0.5,90,CW,89.956
RUN,1773692042.9982674,1773692047.9908512,0.8,0.5,90,CW,90.083
RUN,1773692053.0004165,1773692058.1014147,1.0,0.5,90,CCW,89.95
RUN,1773692063.1123931,1773692067.982529,1.0,0.5,90,CCW,89.929
RUN,1773692072.9912555,1773692077.8212214,1.0,0.5,90,CCW,89.943
RUN,1773692082.832972,1773692087.662239,1.0,0.5,90,CW,89.924
RUN,1773692092.6692846,1773692097.584345,1.0,0.5,90,CW,90.035
RUN,1773692102.5936527,1773692107.4901955,1.0,0.5,90,CW,89.928
RUN,1773692112.4988022,1773692117.4549737,1.5,0.5,90,CCW,89.933
RUN,1773692122.4631429,1773692127.4058967,1.5,0.5,90,CCW,89.925
RUN,1773692132.4142478,1773692137.9690237,1.5,0.5,90,CCW,89.94
RUN,1773692142.981341,1773692147.6565263,1.5,0.5,90,CW,89.943
RUN,1773692152.6681733,1773692157.4786408,1.5,0.5,90,CW,90.064
RUN,1773692162.4935575,1773692167.3684845,1.5,0.5,90,CW,89.928
RUN,1773692172.3780084,1773692177.6953795,2.0,0.5,90,CCW,90.009
RUN,1773692182.7108083,1773692187.6480606,2.0,0.5,90,CCW,90.079
RUN,1773692192.654836,1773692197.921951,2.0,0.5,90,CCW,90.026
RUN,1773692202.933553,1773692207.6626139,2.0,0.5,90,CW,90.022
RUN,1773692212.6712904,1773692217.544079,2.0,0.5,90,CW,90.082
RUN,1773692222.5536427,1773692227.3734965,2.0,0.5,90,CW,90.127
RUN,1773692232.3815024,1773692245.7504396,0.3,0.5,180,CCW,180.009
RUN,1773692250.7584178,1773692264.0084388,0.3,0.5,180,CCW,179.94
RUN,1773692269.024303,1773692283.165564,0.3,0.5,180,CCW,179.939
RUN,1773692288.177132,1773692301.2046244,0.3,0.5,180,CW,179.947
RUN,1773692306.2133799,1773692319.2152863,0.3,0.5,180,CW,179.994
RUN,1773692324.2279546,1773692337.2530873,0.3,0.5,180,CW,179.998
RUN,1773692342.2624795,1773692350.3648942,0.6,0.5,180,CCW,179.932
RUN,1773692355.3739057,1773692363.2083719,0.6,0.5,180,CCW,180.133
RUN,1773692368.2196305,1773692376.1312728,0.6,0.5,180,CCW,179.968
RUN,1773692381.143715,1773692389.1030471,0.6,0.5,180,CW,179.953
RUN,1773692394.1128466,1773692401.844023,0.6,0.5,180,CW,179.975
RUN,1773692406.8578117,1773692414.730611,0.6,0.5,180,CW,179.924
RUN,1773692419.7400455,1773692426.7995558,0.8,0.5,180,CCW,179.924
RUN,1773692431.8110657,1773692438.9184191,0.8,0.5,180,CCW,179.939
RUN,1773692443.923188,1773692451.1603308,0.8,0.5,180,CCW,179.946
RUN,1773692456.1705236,1773692463.431849,0.8,0.5,180,CW,179.911
RUN,1773692468.4410286,1773692475.4273818,0.8,0.5,180,CW,179.914
RUN,1773692480.4337933,1773692487.3040562,0.8,0.5,180,CW,179.943
RUN,1773692492.3156707,1773692499.3303673,1.0,0.5,180,CCW,179.911
RUN,1773692504.3387718,1773692511.0249083,1.0,0.5,180,CCW,179.958
RUN,1773692516.0360239,1773692522.6881154,1.0,0.5,180,CCW,179.988
RUN,1773692527.6990054,1773692534.1971986,1.0,0.5,180,CW,179.922
RUN,1773692539.2088315,1773692545.8028886,1.0,0.5,180,CW,179.922
RUN,1773692550.8133738,1773692557.4873016,1.0,0.5,180,CW,180.114
RUN,1773692562.496552,1773692569.4579103,1.5,0.5,180,CCW,179.93
RUN,1773692574.4696286,1773692581.519172,1.5,0.5,180,CCW,179.932
RUN,1773692586.5297198,1773692593.3921578,1.5,0.5,180,CCW,179.922
RUN,1773692598.4040644,1773692604.947122,1.5,0.5,180,CW,179.988
RUN,1773692609.9574373,1773692616.5171769,1.5,0.5,180,CW,180.05
RUN,1773692621.5216928,1773692628.344305,1.5,0.5,180,CW,179.992
RUN,1773692633.3604178,1773692640.0733888,2.0,0.5,180,CCW,179.972
RUN,1773692645.0824835,1773692651.9559798,2.0,0.5,180,CCW,179.992
RUN,1773692656.9697006,1773692663.82679,2.0,0.5,180,CCW,179.979
RUN,1773692668.8389778,1773692675.367995,2.0,0.5,180,CW,179.984
RUN,1773692680.3790646,1773692686.950547,2.0,0.5,180,CW,180.008
RUN,1773692691.9592087,1773692698.5276406,2.0,0.5,180,CW,179.927
RUN,1773692703.5354838,1773692729.2739801,0.3,0.5,360,CCW,359.975
RUN,1773692734.2826903,1773692759.9695508,0.3,0.5,360,CCW,359.96
RUN,1773692764.9812262,1773692790.4979775,0.3,0.5,360,CCW,359.921
RUN,1773692795.510935,1773692820.4671597,0.3,0.5,360,CW,359.925
RUN,1773692825.474021,1773692850.143642,0.3,0.5,360,CW,359.922
RUN,1773692855.1538975,1773692879.8625057,0.3,0.5,360,CW,360.018
RUN,1773692884.8710027,1773692898.6795533,0.6,0.5,360,CCW,359.917
RUN,1773692903.6903667,1773692917.1867564,0.6,0.5,360,CCW,359.951
RUN,1773692922.196631,1773692935.6482835,0.6,0.5,360,CCW,360.039
RUN,1773692940.6526923,1773692954.0924797,0.6,0.5,360,CW,360.053
RUN,1773692959.1043105,1773692972.4136446,0.6,0.5,360,CW,359.994
RUN,1773692977.4246469,1773692990.7520554,0.6,0.5,360,CW,359.992
RUN,1773692995.7643337,1773693007.1039047,0.8,0.5,360,CCW,359.973
RUN,1773693012.1149344,1773693023.3438597,0.8,0.5,360,CCW,359.953
RUN,1773693028.352326,1773693039.720137,0.8,0.5,360,CCW,359.973
RUN,1773693044.7285335,1773693055.7587097,0.8,0.5,360,CW,359.959
RUN,1773693060.7697396,1773693071.849915,0.8,0.5,360,CW,359.909
RUN,1773693076.860126,1773693088.3153715,0.8,0.5,360,CW,359.956
RUN,1773693093.3247077,1773693103.4033122,1.0,0.5,360,CCW,359.92
RUN,1773693108.4120572,1773693118.5085237,1.0,0.5,360,CCW,359.958
RUN,1773693123.5135448,1773693133.5439558,1.0,0.5,360,CCW,360.117
RUN,1773693138.5538678,1773693148.565964,1.0,0.5,360,CW,359.97
RUN,1773693153.575307,1773693163.4553237,1.0,0.5,360,CW,360.095
RUN,1773693168.4626324,1773693178.4270973,1.0,0.5,360,CW,360.014
RUN,1773693183.4387987,1773693193.9688952,1.5,0.5,360,CCW,359.983
RUN,1773693198.981339,1773693209.1722085,1.5,0.5,360,CCW,359.951
RUN,1773693214.1812754,1773693223.98641,1.5,0.5,360,CCW,359.944
RUN,1773693228.9949772,1773693238.7411559,1.5,0.5,360,CW,359.965
RUN,1773693243.7521842,1773693253.645011,1.5,0.5,360,CW,360.089
RUN,1773693258.6575148,1773693268.5572405,1.5,0.5,360,CW,359.964
RUN,1773693273.5622606,1773693283.8673449,2.0,0.5,360,CCW,359.924
RUN,1773693288.8760545,1773693298.7542932,2.0,0.5,360,CCW,360.004
RUN,1773693303.7608123,1773693314.3043594,2.0,0.5,360,CCW,359.92
RUN,1773693319.3148,1773693329.0152328,2.0,0.5,360,CW,359.986
RUN,1773693334.0226924,1773693343.915857,2.0,0.5,360,CW,359.94
RUN,1773693348.923358,1773693359.52977,2.0,0.5,360,CW,360.018
SYNC_END,1773693361.535692,1773693361.535692,,,,,
