tipo,t_inicio,t_fin,vel_max,acel,angulo_objetivo,direccion,angulo_odom
SYNC_START,1773853639.4244683,1773853639.4244683,,,,,
RUN,1773853643.0130033,1773853650.2174034,0.3,0.5,90,CCW,89.911
RUN,1773853655.224789,1773853662.6368673,0.3,0.5,90,CCW,89.935
RUN,1773853667.6440935,1773853675.3020825,0.3,0.5,90,CCW,89.984
RUN,1773853680.3048244,1773853687.6443057,0.3,0.5,90,CCW,89.913
RUN,1773853692.6506557,1773853699.8593717,0.3,0.5,90,CCW,89.925
RUN,1773853704.8649304,1773853712.0366743,0.3,0.5,90,CW,90.035
RUN,1773853717.0407557,1773853724.1207922,0.3,0.5,90,CW,90.072
RUN,1773853729.1253078,1773853736.1753426,0.3,0.5,90,CW,89.94
RUN,1773853741.1834219,1773853748.2409499,0.3,0.5,90,CW,89.938
RUN,1773853753.248503,1773853760.962271,0.3,0.5,90,CW,89.938
RUN,1773853765.969022,1773853772.9350898,0.3,1.0,90,CCW,89.987
RUN,1773853777.9441783,1773853784.8021865,0.3,1.0,90,CCW,90.131
RUN,1773853789.8078423,1773853796.6799383,0.3,1.0,90,CCW,89.986
RUN,1773853801.6862085,1773853808.5394366,0.3,1.0,90,CCW,90.263
RUN,1773853813.5468795,1773853820.3926964,0.3,1.0,90,CCW,90.021
RUN,1773853825.396819,1773853832.112991,0.3,1.0,90,CW,90.124
RUN,1773853837.123014,1773853843.7743099,0.3,1.0,90,CW,90.078
RUN,1773853848.7800946,1773853855.5009832,0.3,1.0,90,CW,90.252
RUN,1773853860.5081236,1773853867.2396286,0.3,1.0,90,CW,90.465
RUN,1773853872.2447495,1773853878.9800823,0.3,1.0,90,CW,90.276
RUN,1773853883.989676,1773853890.6591296,0.3,2.0,90,CCW,90.121
RUN,1773853895.6667936,1773853902.3760638,0.3,2.0,90,CCW,90.318
RUN,1773853907.383432,1773853914.0872765,0.3,2.0,90,CCW,90.273
RUN,1773853919.0905151,1773853925.8394585,0.3,2.0,90,CCW,90.434
RUN,1773853930.844748,1773853937.5328383,0.3,2.0,90,CCW,90.315
RUN,1773853942.541521,1773853949.0225506,0.3,2.0,90,CW,90.235
RUN,1773853954.0252259,1773853960.535733,0.3,2.0,90,CW,90.083
RUN,1773853965.543496,1773853972.0433195,0.3,2.0,90,CW,90.428
RUN,1773853977.0504599,1773853983.520419,0.3,2.0,90,CW,89.988
RUN,1773853988.5280147,1773853994.978861,0.3,2.0,90,CW,90.184
RUN,1773853999.9873633,1773854006.5812066,0.35,0.5,90,CCW,90.002
RUN,1773854011.5848656,1773854018.1587996,0.35,0.5,90,CCW,90.048
RUN,1773854023.1653621,1773854030.2411873,0.35,0.5,90,CCW,89.926
RUN,1773854035.2447724,1773854041.9204905,0.35,0.5,90,CCW,89.915
RUN,1773854046.936359,1773854054.0231373,0.35,0.5,90,CCW,89.917
RUN,1773854059.0288444,1773854065.5428247,0.35,0.5,90,CW,89.926
RUN,1773854070.54603,1773854077.0598922,0.35,0.5,90,CW,89.917
RUN,1773854082.0691676,1773854088.5752785,0.35,0.5,90,CW,90.084
RUN,1773854093.5814648,1773854100.0716023,0.35,0.5,90,CW,89.977
RUN,1773854105.0799701,1773854112.083452,0.35,0.5,90,CW,89.964
RUN,1773854117.0903456,1773854123.2477345,0.35,1.0,90,CCW,90.019
RUN,1773854128.2565515,1773854134.3822536,0.35,1.0,90,CCW,90.367
RUN,1773854139.3888507,1773854145.5602226,0.35,1.0,90,CCW,90.268
RUN,1773854150.5657587,1773854156.746467,0.35,1.0,90,CCW,90.188
RUN,1773854161.75624,1773854167.9118712,0.35,1.0,90,CCW,90.195
RUN,1773854172.917176,1773854178.8789823,0.35,1.0,90,CW,90.153
RUN,1773854183.88484,1773854189.8783693,0.35,1.0,90,CW,90.281
RUN,1773854194.8816123,1773854200.9183831,0.35,1.0,90,CW,90.449
RUN,1773854205.9244318,1773854211.9553673,0.35,1.0,90,CW,90.618
RUN,1773854216.9619489,1773854222.9314306,0.35,1.0,90,CW,90.17
RUN,1773854227.9370456,1773854233.8580832,0.35,2.0,90,CCW,90.169
RUN,1773854238.8626173,1773854244.8241315,0.35,2.0,90,CCW,90.194
RUN,1773854249.8306842,1773854255.7847826,0.35,2.0,90,CCW,90.274
RUN,1773854260.7928119,1773854266.7364547,0.35,2.0,90,CCW,90.111
RUN,1773854271.744329,1773854277.6838858,0.35,2.0,90,CCW,90.212
RUN,1773854282.6887908,1773854288.5125282,0.35,2.0,90,CW,90.459
RUN,1773854293.5204287,1773854299.395241,0.35,2.0,90,CW,90.604
RUN,1773854304.4035501,1773854310.2571054,0.35,2.0,90,CW,90.143
RUN,1773854315.264774,1773854321.0729547,0.35,2.0,90,CW,90.192
RUN,1773854326.0772073,1773854331.888244,0.35,2.0,90,CW,90.615
RUN,1773854336.8949537,1773854343.2037034,0.4,0.5,90,CCW,90.007
RUN,1773854348.211831,1773854354.4115374,0.4,0.5,90,CCW,89.923
RUN,1773854359.4195993,1773854365.5639663,0.4,0.5,90,CCW,90.145
RUN,1773854370.571631,1773854376.9566617,0.4,0.5,90,CCW,89.99
RUN,1773854381.9614196,1773854388.3822126,0.4,0.5,90,CCW,90.068
RUN,1773854393.391563,1773854399.6018615,0.4,0.5,90,CW,89.931
RUN,1773854404.605102,1773854410.7207894,0.4,0.5,90,CW,90.059
RUN,1773854415.729062,1773854421.7624764,0.4,0.5,90,CW,89.962
RUN,1773854426.7688825,1773854432.9157546,0.4,0.5,90,CW,90.032
RUN,1773854437.9208696,1773854444.220537,0.4,0.5,90,CW,89.984
RUN,1773854449.2289546,1773854454.7647896,0.4,1.0,90,CCW,90.143
RUN,1773854459.7701476,1773854465.293515,0.4,1.0,90,CCW,90.009
RUN,1773854470.2971365,1773854475.8866625,0.4,1.0,90,CCW,90.114
RUN,1773854480.8887382,1773854486.4792457,0.4,1.0,90,CCW,90.264
RUN,1773854491.4847548,1773854497.0759778,0.4,1.0,90,CCW,90.318
RUN,1773854502.0849376,1773854507.5008354,0.4,1.0,90,CW,90.255
RUN,1773854512.5090997,1773854518.000377,0.4,1.0,90,CW,90.69
RUN,1773854523.004947,1773854528.4434402,0.4,1.0,90,CW,90.192
RUN,1773854533.4490447,1773854538.9042654,0.4,1.0,90,CW,90.465
RUN,1773854543.910611,1773854549.2961726,0.4,1.0,90,CW,90.096
RUN,1773854554.3013124,1773854559.6365573,0.4,2.0,90,CCW,90.097
RUN,1773854564.6454105,1773854570.0194654,0.4,2.0,90,CCW,90.517
RUN,1773854575.0247884,1773854580.338479,0.4,2.0,90,CCW,90.634
RUN,1773854585.3472078,1773854590.6634042,0.4,2.0,90,CCW,90.317
RUN,1773854595.671493,1773854601.023768,0.4,2.0,90,CCW,90.412
RUN,1773854606.0295537,1773854611.213332,0.4,2.0,90,CW,90.105
RUN,1773854616.2209115,1773854621.4237359,0.4,2.0,90,CW,90.266
RUN,1773854626.4302862,1773854631.6641092,0.4,2.0,90,CW,89.978
RUN,1773854636.6722972,1773854641.9015796,0.4,2.0,90,CW,90.608
RUN,1773854646.9096465,1773854652.1383498,0.4,2.0,90,CW,90.245
RUN,1773854657.1442623,1773854662.4395008,0.5,0.5,90,CCW,90.184
RUN,1773854667.4487596,1773854673.2393465,0.5,0.5,90,CCW,89.948
RUN,1773854678.245833,1773854683.7016351,0.5,0.5,90,CCW,90.034
RUN,1773854688.7096422,1773854694.143521,0.5,0.5,90,CCW,89.93
RUN,1773854699.14894,1773854704.8184283,0.5,0.5,90,CCW,89.916
RUN,1773854709.825472,1773854715.2033818,0.5,0.5,90,CW,90.081
RUN,1773854720.2087634,1773854725.4998019,0.5,0.5,90,CW,90.058
RUN,1773854730.5063436,1773854735.7321436,0.5,0.5,90,CW,89.984
RUN,1773854740.7414646,1773854746.058069,0.5,0.5,90,CW,90.014
RUN,1773854751.0663786,1773854756.42758,0.5,0.5,90,CW,89.944
RUN,1773854761.4364169,1773854765.9639978,0.5,1.0,90,CCW,90.426
RUN,1773854770.9705265,1773854775.463862,0.5,1.0,90,CCW,89.988
RUN,1773854780.4719963,1773854784.9639895,0.5,1.0,90,CCW,90.004
RUN,1773854789.9694064,1773854794.463236,0.5,1.0,90,CCW,90.435
RUN,1773854799.4660897,1773854804.0215466,0.5,1.0,90,CCW,90.281
RUN,1773854809.0299253,1773854813.4611778,0.5,1.0,90,CW,90.117
RUN,1773854818.4684408,1773854822.9154167,0.5,1.0,90,CW,90.319
RUN,1773854827.9295385,1773854832.3788047,0.5,1.0,90,CW,90.226
