filename,angle_initial,angle_final,delta_angle
auto-seg01.MOV,-89.1599,-52.3297,36.8302
auto-seg02.MOV,-52.5946,-18.3294,34.2652
auto-seg03.MOV,-18.382,17.5422,35.9243
auto-seg04.MOV,17.4836,55.9875,38.5039
auto-seg05.MOV,56.0802,93.1614,37.0812
auto-seg06.MOV,93.1706,103.2691,10.0985
auto-seg07.MOV,103.3074,114.8563,11.5489
auto-seg08.MOV,115.0069,127.4054,12.3985
auto-seg09.MOV,127.3039,138.4502,11.1463
auto-seg10.MOV,138.6723,147.9412,9.2689
auto-seg11.MOV,147.7467,151.496,3.7493
auto-seg12.MOV,151.5632,155.5284,3.9652
auto-seg13.MOV,155.7494,160.0312,4.2818
auto-seg14.MOV,159.9739,162.8357,2.8618
auto-seg15.MOV,162.9958,166.4913,3.4954
auto-seg16.MOV,166.4913,168.5257,2.0345
auto-seg17.MOV,168.5257,171.5607,3.035
auto-seg18.MOV,171.6341,174.9869,3.3528
auto-seg19.MOV,174.9723,178.9949,4.0227
auto-seg20.MOV,178.9949,-177.9904,3.0146
auto-seg21.MOV,-177.9904,-175.3196,2.6709
auto-seg22.MOV,-175.3059,-173.9735,1.3324
auto-seg23.MOV,-173.6414,-171.3045,2.3369
auto-seg24.MOV,-171.3045,-167.9401,3.3644
auto-seg25.MOV,-167.9401,-165.5193,2.4208
auto-seg26.MOV,-165.5193,-166.769,-1.2497
auto-seg27.MOV,-166.893,-168.0684,-1.1754
auto-seg28.MOV,-168.1976,-169.4418,-1.2442
auto-seg29.MOV,-169.278,-169.247,0.0311
auto-seg30.MOV,-169.247,-170.6199,-1.373
auto-seg31.MOV,-170.4278,-170.263,0.1647
auto-seg32.MOV,-170.263,-170.3999,-0.1369
auto-seg33.MOV,-170.5927,-169.5755,1.0172
auto-seg34.MOV,-169.5452,-170.0984,-0.5533
auto-seg35.MOV,-170.2912,-170.0407,0.2505
